Company Identifier,Total S1+S2 (tCo2e),Subsector Name,Charlie (milUSD),Alpha (milUSD),Romeo (milUSD),Echo
164,109315,Automobiles,3456.685995,481.7839316,3973.148317,NULL
165,67233,Diversified Banks,NULL,1371.964016,10347.59303,22024
166,296655,Diversified Banks,NULL,2404.255453,24561.177,73333
167,70100,Diversified Banks,NULL,1643.231606,10410.44517,26153
168,199049,Hotels,1318.410732,1590.699487,1966.407917,33800
169,22513,Oil & Gas Exploration & Production,38.00797961,167.4212892,53.22423131,180
170,8359513,Automobiles,217501.6793,116843.5628,272373.9802,664496
171,101289,Diversified Banks,NULL,8728.513896,99262.38225,258700
172,1153798.6,Computer Storage & Peripherals,12621.42329,3016.704385,20124.6835,71600
173,3691718,Aluminum,NULL,NULL,2699.760128,NULL
174,128339,Diversified Banks,NULL,1008.340948,29036.27396,35029
175,1.16E+07,Oil & Gas Storage & Transportation,5969.050983,26913.5702,8499.537187,5322
176,1.33E+07,Oil & Gas Exploration & Production,2786.090513,19799.58068,5131.49887,3662
177,2464970,Oil & Gas Equipment & Services,7920.163642,3446.381683,8637.635679,75833
178,312.41,Capital Markets,133.8633073,102.0609865,2334.094641,4450
179,1611,Capital Markets,NULL,10.62313914,430.9863875,1699
180,4875,Oil & Gas Exploration & Production,374.2575314,1056.776431,401.7735875,201
181,1008,Capital Markets,57.85273649,21.98529334,444.6061402,NULL
182,199185,Specialty Chemicals,1202.284007,1018.833851,1810.868472,4580
183,6367,Capital Markets,204.6567872,47.1592121,1047.764413,1435
184,35171,Oil & Gas Equipment & Services,654.3141875,369.2771347,892.4602672,2772
185,584,Capital Markets,NULL,16.39333767,276.7351526,336
186,235470,Oil & Gas Exploration & Production,57.13841239,177.8455904,90.94301338,575
187,2477,Thrifts & Mortgage Finance,NULL,74.40127043,670.2663747,1367
188,21212.8,Regional Banks,NULL,588.4838041,3411.123327,6306
189,5004,Capital Markets,NULL,292.1559278,1265.664446,3219
190,12832,Software,259.3565413,168.9747163,2418.041289,13003
191,268.9,Capital Markets,3.903175636,5.204234182,502.2085985,287
192,2925,Specialty Chemicals,110.7216653,26.24740593,146.9202411,NULL
193,37920,Specialty Chemicals,154.5660196,331.9239776,427.0213761,921
